Date,arkk,tgt,unh
2014-01-15 16:00:00,,61.56,
2014-01-16 16:00:00,,60.81,
2014-01-17 16:00:00,,60.24,
2014-01-21 16:00:00,,59.2,
2014-01-22 16:00:00,,58.98,
2014-01-23 16:00:00,,58.65,
2014-01-24 16:00:00,,57.72,
2014-01-27 16:00:00,,57.71,
2014-01-28 16:00:00,,57.89,
2014-01-29 16:00:00,,56.89,
2014-01-30 16:00:00,,56.67,
2014-01-31 16:00:00,,56.64,
2014-02-03 16:00:00,,55.41,
2014-02-04 16:00:00,,55.12,
2014-02-05 16:00:00,,55.07,
2014-02-06 16:00:00,,55.86,
2014-02-07 16:00:00,,56.33,
2014-02-10 16:00:00,,56.51,
2014-02-11 16:00:00,,57.14,
2014-02-12 16:00:00,,56.95,
2014-02-13 16:00:00,,56.86,
2014-02-14 16:00:00,,56.06,
2014-02-18 16:00:00,,56.39,
2014-02-19 16:00:00,,57.31,
2014-02-20 16:00:00,,56.62,
2014-02-21 16:00:00,,56.24,
2014-02-24 16:00:00,,56.14,
2014-02-25 16:00:00,,56.51,
2014-02-26 16:00:00,,60.49,
2014-02-27 16:00:00,,60.66,
2014-02-28 16:00:00,,62.54,
2014-03-03 16:00:00,,61.96,
2014-03-04 16:00:00,,61.33,
2014-03-05 16:00:00,,60.6,
2014-03-06 16:00:00,,60.74,
2014-03-07 16:00:00,,60.75,
2014-03-10 16:00:00,,61.16,
2014-03-11 16:00:00,,60.94,
2014-03-12 16:00:00,,61.1,
2014-03-13 16:00:00,,59.73,
2014-03-14 16:00:00,,59.36,
2014-03-17 16:00:00,,59.67,
2014-03-18 16:00:00,,59.72,
2014-03-19 16:00:00,,59.48,
2014-03-20 16:00:00,,59.7,
2014-03-21 16:00:00,,59.45,
2014-03-24 16:00:00,,59.46,
2014-03-25 16:00:00,,59.06,
2014-03-26 16:00:00,,59.2,
2014-03-27 16:00:00,,59.74,
2014-03-28 16:00:00,,59.98,
2014-03-31 16:00:00,,60.51,
2014-04-01 16:00:00,,60.57,
2014-04-02 16:00:00,,60.89,
2014-04-03 16:00:00,,61.72,
2014-04-04 16:00:00,,61.14,
2014-04-07 16:00:00,,60.5,
2014-04-08 16:00:00,,61.5,
2014-04-09 16:00:00,,61.21,
2014-04-10 16:00:00,,59.67,
2014-04-11 16:00:00,,58.9,
2014-04-14 16:00:00,,59.42,
2014-04-15 16:00:00,,59.48,
2014-04-16 16:00:00,,59.91,
2014-04-17 16:00:00,,60.0,
2014-04-21 16:00:00,,59.76,
2014-04-22 16:00:00,,60.32,
2014-04-23 16:00:00,,60.74,
2014-04-24 16:00:00,,61.45,
2014-04-25 16:00:00,,61.26,
2014-04-28 16:00:00,,62.18,
2014-04-29 16:00:00,,61.97,
2014-04-30 16:00:00,,61.75,
2014-05-01 16:00:00,,61.74,
2014-05-02 16:00:00,,62.01,
2014-05-05 16:00:00,,59.87,
2014-05-06 16:00:00,,57.64,
2014-05-07 16:00:00,,58.13,
2014-05-08 16:00:00,,58.32,
2014-05-09 16:00:00,,59.13,
2014-05-12 16:00:00,,59.64,
2014-05-13 16:00:00,,59.56,
2014-05-14 16:00:00,,59.27,
2014-05-15 16:00:00,,58.18,
2014-05-16 16:00:00,,58.64,
2014-05-19 16:00:00,,58.29,
2014-05-20 16:00:00,,56.61,
2014-05-21 16:00:00,,57.2,
2014-05-22 16:00:00,,55.99,
2014-05-23 16:00:00,,55.69,
2014-05-27 16:00:00,,55.77,
2014-05-28 16:00:00,,55.34,
2014-05-29 16:00:00,,55.88,
2014-05-30 16:00:00,,56.76,
2014-06-02 16:00:00,,56.49,
2014-06-03 16:00:00,,56.79,
2014-06-04 16:00:00,,57.18,
2014-06-05 16:00:00,,57.49,
2014-06-06 16:00:00,,57.68,
2014-06-09 16:00:00,,57.6,
2014-06-10 16:00:00,,56.86,
2014-06-11 16:00:00,,57.08,
2014-06-12 16:00:00,,57.24,
2014-06-13 16:00:00,,57.23,
2014-06-16 16:00:00,,57.74,
2014-06-17 16:00:00,,58.17,
2014-06-18 16:00:00,,58.7,
2014-06-19 16:00:00,,58.74,
2014-06-20 16:00:00,,58.29,
2014-06-23 16:00:00,,58.42,
2014-06-24 16:00:00,,58.7,
2014-06-25 16:00:00,,58.06,
2014-06-26 16:00:00,,57.87,
2014-06-27 16:00:00,,58.12,
2014-06-30 16:00:00,,57.95,
2014-07-01 16:00:00,,58.37,
2014-07-02 16:00:00,,58.77,
2014-07-03 16:00:00,,59.51,
2014-07-07 16:00:00,,59.99,
2014-07-08 16:00:00,,59.8,
2014-07-09 16:00:00,,60.05,
2014-07-10 16:00:00,,59.93,
2014-07-11 16:00:00,,60.0,
2014-07-14 16:00:00,,60.18,
2014-07-15 16:00:00,,60.71,
2014-07-16 16:00:00,,60.14,
2014-07-17 16:00:00,,59.72,
2014-07-18 16:00:00,,60.01,
2014-07-21 16:00:00,,59.3,
2014-07-22 16:00:00,,59.38,
2014-07-23 16:00:00,,60.73,
2014-07-24 16:00:00,,60.99,
2014-07-25 16:00:00,,60.39,
2014-07-28 16:00:00,,60.3,
2014-07-29 16:00:00,,61.1,
2014-07-30 16:00:00,,61.38,
2014-07-31 16:00:00,,59.59,
2014-08-01 16:00:00,,59.85,
2014-08-04 16:00:00,,60.7,
2014-08-05 16:00:00,,58.03,
2014-08-06 16:00:00,,57.97,
2014-08-07 16:00:00,,57.5,
2014-08-08 16:00:00,,58.54,
2014-08-11 16:00:00,,58.36,
2014-08-12 16:00:00,,58.46,
2014-08-13 16:00:00,,58.26,
2014-08-14 16:00:00,,58.74,
2014-08-15 16:00:00,,58.2,
2014-08-18 16:00:00,,58.55,
2014-08-19 16:00:00,,59.25,
2014-08-20 16:00:00,,60.33,
2014-08-21 16:00:00,,61.07,
2014-08-22 16:00:00,,61.05,
2014-08-25 16:00:00,,60.98,
2014-08-26 16:00:00,,60.7,
2014-08-27 16:00:00,,60.79,
2014-08-28 16:00:00,,60.35,
2014-08-29 16:00:00,,60.07,
2014-09-02 16:00:00,,60.19,
2014-09-03 16:00:00,,60.39,
2014-09-04 16:00:00,,61.03,
2014-09-05 16:00:00,,61.08,
2014-09-08 16:00:00,,60.56,
2014-09-09 16:00:00,,60.88,
2014-09-10 16:00:00,,61.95,
2014-09-11 16:00:00,,62.59,
2014-09-12 16:00:00,,62.53,
2014-09-15 16:00:00,,62.21,
2014-09-16 16:00:00,,62.86,
2014-09-17 16:00:00,,62.87,
2014-09-18 16:00:00,,63.93,
2014-09-19 16:00:00,,63.81,
2014-09-22 16:00:00,,63.36,
2014-09-23 16:00:00,,63.08,
2014-09-24 16:00:00,,63.88,
2014-09-25 16:00:00,,62.88,
2014-09-26 16:00:00,,63.15,
2014-09-29 16:00:00,,63.04,
2014-09-30 16:00:00,,62.68,
2014-10-01 16:00:00,,62.07,
2014-10-02 16:00:00,,62.57,
2014-10-03 16:00:00,,63.07,
2014-10-06 16:00:00,,62.28,
2014-10-07 16:00:00,,61.54,
2014-10-08 16:00:00,,62.81,
2014-10-09 16:00:00,,61.6,
2014-10-10 16:00:00,,60.59,
2014-10-13 16:00:00,,60.44,
2014-10-14 16:00:00,,61.69,
2014-10-15 16:00:00,,59.98,
2014-10-16 16:00:00,,59.44,
2014-10-17 16:00:00,,59.07,
2014-10-20 16:00:00,,60.29,
2014-10-21 16:00:00,,61.64,
2014-10-22 16:00:00,,61.33,
2014-10-23 16:00:00,,62.03,
2014-10-24 16:00:00,,61.57,
2014-10-27 16:00:00,,61.56,
2014-10-28 16:00:00,,60.65,
2014-10-29 16:00:00,,60.89,
2014-10-30 16:00:00,,61.78,
2014-10-31 16:00:00,20.38,61.82,
2014-11-03 16:00:00,20.38,61.59,
2014-11-04 16:00:00,20.26,61.37,
2014-11-05 16:00:00,20.0,61.12,
2014-11-06 16:00:00,20.14,61.89,
2014-11-07 16:00:00,20.12,64.17,
2014-11-10 16:00:00,20.3,65.52,
2014-11-11 16:00:00,20.29,65.72,
2014-11-12 16:00:00,20.36,66.72,
2014-11-13 16:00:00,20.34,67.5,
2014-11-14 16:00:00,20.44,68.13,
2014-11-17 16:00:00,20.41,67.13,
2014-11-18 16:00:00,20.6,67.51,
2014-11-19 16:00:00,20.29,72.5,
2014-11-20 16:00:00,20.28,71.19,
2014-11-21 16:00:00,20.36,71.51,
2014-11-24 16:00:00,20.49,71.57,
2014-11-25 16:00:00,20.52,72.1,
2014-11-26 16:00:00,20.56,72.16,
2014-11-28 16:00:00,20.59,74.0,
2014-12-01 16:00:00,20.27,72.75,
2014-12-02 16:00:00,20.05,73.07,
2014-12-03 16:00:00,20.09,73.33,
2014-12-04 16:00:00,20.06,73.28,
2014-12-05 16:00:00,20.11,73.66,
2014-12-08 16:00:00,19.73,73.78,
2014-12-09 16:00:00,19.78,73.6,
2014-12-10 16:00:00,19.73,72.91,
2014-12-11 16:00:00,19.77,73.53,
2014-12-12 16:00:00,19.61,72.4,
2014-12-15 16:00:00,19.28,73.2,
2014-12-16 16:00:00,18.95,72.28,
2014-12-17 16:00:00,19.16,73.57,
2014-12-18 16:00:00,19.88,74.64,
2014-12-19 16:00:00,20.16,73.95,
2014-12-22 16:00:00,20.33,74.5,
2014-12-23 16:00:00,20.34,74.69,
2014-12-24 16:00:00,20.37,74.65,
2014-12-26 16:00:00,20.6,75.06,
2014-12-29 16:00:00,20.43,75.53,
2014-12-30 16:00:00,20.3,75.71,
2014-12-31 16:00:00,20.16,75.91,
2015-01-02 16:00:00,20.17,75.33,
2015-01-05 16:00:00,19.68,73.98,
2015-01-06 16:00:00,19.61,73.97,
2015-01-07 16:00:00,19.7,76.77,
2015-01-08 16:00:00,20.14,77.13,
2015-01-09 16:00:00,19.97,76.43,
2015-01-12 16:00:00,20.15,76.63,
2015-01-13 16:00:00,19.99,75.95,
2015-01-14 16:00:00,19.93,74.33,
2015-01-15 16:00:00,19.48,75.67,
2015-01-16 16:00:00,19.61,74.94,
2015-01-20 16:00:00,19.89,73.67,
2015-01-21 16:00:00,20.25,73.95,
2015-01-22 16:00:00,20.53,75.77,
2015-01-23 16:00:00,20.63,75.29,
2015-01-26 16:00:00,20.75,75.25,
2015-01-27 16:00:00,20.44,74.76,
2015-01-28 16:00:00,20.35,74.26,
2015-01-29 16:00:00,20.39,75.49,
2015-01-30 16:00:00,20.24,73.61,
2015-02-02 16:00:00,20.37,74.25,
2015-02-03 16:00:00,20.23,75.87,
2015-02-04 16:00:00,20.46,75.61,
2015-02-05 16:00:00,20.84,75.95,
2015-02-06 16:00:00,20.79,76.36,
2015-02-09 16:00:00,20.68,75.39,
2015-02-10 16:00:00,20.85,76.65,
2015-02-11 16:00:00,21.03,76.42,
2015-02-12 16:00:00,21.18,76.87,
2015-02-13 16:00:00,21.45,76.12,
2015-02-17 16:00:00,21.34,76.64,
2015-02-18 16:00:00,21.37,77.35,
2015-02-19 16:00:00,21.54,76.68,
2015-02-20 16:00:00,21.68,76.87,
2015-02-23 16:00:00,21.48,76.69,
2015-02-24 16:00:00,21.42,76.95,
2015-02-25 16:00:00,21.43,77.15,
2015-02-26 16:00:00,21.64,76.9,
2015-02-27 16:00:00,21.51,76.83,
2015-03-02 16:00:00,21.5,77.68,
2015-03-03 16:00:00,21.34,78.0,
2015-03-04 16:00:00,21.22,77.72,
2015-03-05 16:00:00,21.35,78.2,
2015-03-06 16:00:00,20.97,77.21,
2015-03-09 16:00:00,20.8,78.57,
2015-03-10 16:00:00,20.58,77.67,
2015-03-11 16:00:00,20.67,77.78,
2015-03-12 16:00:00,20.68,79.3,
2015-03-13 16:00:00,20.62,79.18,
2015-03-16 16:00:00,20.8,80.49,
2015-03-17 16:00:00,20.87,81.03,
