Date,arkk,tgt,unh
2014-01-15 16:00:00,,61.56,74.84
2014-01-16 16:00:00,,60.81,72.76
2014-01-17 16:00:00,,60.24,72.52
2014-01-21 16:00:00,,59.2,73.16
2014-01-22 16:00:00,,58.98,73.4
2014-01-23 16:00:00,,58.65,73.2
2014-01-24 16:00:00,,57.72,71.6
2014-01-27 16:00:00,,57.71,71.65
2014-01-28 16:00:00,,57.89,71.71
2014-01-29 16:00:00,,56.89,71.26
2014-01-30 16:00:00,,56.67,72.8
2014-01-31 16:00:00,,56.64,72.28
2014-02-03 16:00:00,,55.41,70.74
2014-02-04 16:00:00,,55.12,70.51
2014-02-05 16:00:00,,55.07,70.82
2014-02-06 16:00:00,,55.86,70.87
2014-02-07 16:00:00,,56.33,71.36
2014-02-10 16:00:00,,56.51,69.74
2014-02-11 16:00:00,,57.14,70.62
2014-02-12 16:00:00,,56.95,70.24
2014-02-13 16:00:00,,56.86,71.21
2014-02-14 16:00:00,,56.06,73.52
2014-02-18 16:00:00,,56.39,73.83
2014-02-19 16:00:00,,57.31,73.55
2014-02-20 16:00:00,,56.62,73.48
2014-02-21 16:00:00,,56.24,73.81
2014-02-24 16:00:00,,56.14,76.01
2014-02-25 16:00:00,,56.51,75.32
2014-02-26 16:00:00,,60.49,76.06
2014-02-27 16:00:00,,60.66,76.02
2014-02-28 16:00:00,,62.54,77.27
2014-03-03 16:00:00,,61.96,77.1
2014-03-04 16:00:00,,61.33,78.13
2014-03-05 16:00:00,,60.6,77.99
2014-03-06 16:00:00,,60.74,77.64
2014-03-07 16:00:00,,60.75,77.4
2014-03-10 16:00:00,,61.16,77.88
2014-03-11 16:00:00,,60.94,77.78
2014-03-12 16:00:00,,61.1,77.6
2014-03-13 16:00:00,,59.73,77.01
2014-03-14 16:00:00,,59.36,75.7
2014-03-17 16:00:00,,59.67,76.76
2014-03-18 16:00:00,,59.72,78.0
2014-03-19 16:00:00,,59.48,79.96
2014-03-20 16:00:00,,59.7,81.53
2014-03-21 16:00:00,,59.45,81.34
2014-03-24 16:00:00,,59.46,81.28
2014-03-25 16:00:00,,59.06,81.1
2014-03-26 16:00:00,,59.2,81.54
2014-03-27 16:00:00,,59.74,81.02
2014-03-28 16:00:00,,59.98,81.62
2014-03-31 16:00:00,,60.51,81.99
2014-04-01 16:00:00,,60.57,81.84
2014-04-02 16:00:00,,60.89,81.61
2014-04-03 16:00:00,,61.72,82.25
2014-04-04 16:00:00,,61.14,81.53
2014-04-07 16:00:00,,60.5,81.08
2014-04-08 16:00:00,,61.5,80.66
2014-04-09 16:00:00,,61.21,81.39
2014-04-10 16:00:00,,59.67,79.99
2014-04-11 16:00:00,,58.9,78.95
2014-04-14 16:00:00,,59.42,79.18
2014-04-15 16:00:00,,59.48,79.51
2014-04-16 16:00:00,,59.91,78.19
2014-04-17 16:00:00,,60.0,75.78
2014-04-21 16:00:00,,59.76,74.95
2014-04-22 16:00:00,,60.32,75.76
2014-04-23 16:00:00,,60.74,75.33
2014-04-24 16:00:00,,61.45,76.59
2014-04-25 16:00:00,,61.26,75.66
2014-04-28 16:00:00,,62.18,75.74
2014-04-29 16:00:00,,61.97,75.2
2014-04-30 16:00:00,,61.75,75.04
2014-05-01 16:00:00,,61.74,74.95
2014-05-02 16:00:00,,62.01,75.03
2014-05-05 16:00:00,,59.87,75.23
2014-05-06 16:00:00,,57.64,75.26
2014-05-07 16:00:00,,58.13,77.91
2014-05-08 16:00:00,,58.32,76.89
2014-05-09 16:00:00,,59.13,76.95
2014-05-12 16:00:00,,59.64,77.74
2014-05-13 16:00:00,,59.56,78.04
2014-05-14 16:00:00,,59.27,77.17
2014-05-15 16:00:00,,58.18,76.48
2014-05-16 16:00:00,,58.64,76.65
2014-05-19 16:00:00,,58.29,77.2
2014-05-20 16:00:00,,56.61,76.66
2014-05-21 16:00:00,,57.2,77.72
2014-05-22 16:00:00,,55.99,78.34
2014-05-23 16:00:00,,55.69,78.77
2014-05-27 16:00:00,,55.77,79.11
2014-05-28 16:00:00,,55.34,78.58
2014-05-29 16:00:00,,55.88,79.37
2014-05-30 16:00:00,,56.76,79.63
2014-06-02 16:00:00,,56.49,79.47
2014-06-03 16:00:00,,56.79,79.88
2014-06-04 16:00:00,,57.18,80.51
2014-06-05 16:00:00,,57.49,79.8
2014-06-06 16:00:00,,57.68,79.93
2014-06-09 16:00:00,,57.6,79.76
2014-06-10 16:00:00,,56.86,79.81
2014-06-11 16:00:00,,57.08,80.17
2014-06-12 16:00:00,,57.24,79.44
2014-06-13 16:00:00,,57.23,79.18
2014-06-16 16:00:00,,57.74,78.0
2014-06-17 16:00:00,,58.17,78.17
2014-06-18 16:00:00,,58.7,79.21
2014-06-19 16:00:00,,58.74,80.51
2014-06-20 16:00:00,,58.29,81.41
2014-06-23 16:00:00,,58.42,81.49
2014-06-24 16:00:00,,58.7,81.74
2014-06-25 16:00:00,,58.06,82.34
2014-06-26 16:00:00,,57.87,82.29
2014-06-27 16:00:00,,58.12,82.0
2014-06-30 16:00:00,,57.95,81.75
2014-07-01 16:00:00,,58.37,81.89
2014-07-02 16:00:00,,58.77,82.49
2014-07-03 16:00:00,,59.51,83.35
2014-07-07 16:00:00,,59.99,82.22
2014-07-08 16:00:00,,59.8,81.93
2014-07-09 16:00:00,,60.05,82.74
2014-07-10 16:00:00,,59.93,82.08
2014-07-11 16:00:00,,60.0,82.87
2014-07-14 16:00:00,,60.18,84.27
2014-07-15 16:00:00,,60.71,83.9
2014-07-16 16:00:00,,60.14,83.76
2014-07-17 16:00:00,,59.72,85.11
2014-07-18 16:00:00,,60.01,85.52
2014-07-21 16:00:00,,59.3,85.06
2014-07-22 16:00:00,,59.38,86.05
2014-07-23 16:00:00,,60.73,85.94
2014-07-24 16:00:00,,60.99,85.68
2014-07-25 16:00:00,,60.39,84.68
2014-07-28 16:00:00,,60.3,85.75
2014-07-29 16:00:00,,61.1,84.27
2014-07-30 16:00:00,,61.38,82.95
2014-07-31 16:00:00,,59.59,81.05
2014-08-01 16:00:00,,59.85,81.49
2014-08-04 16:00:00,,60.7,82.27
2014-08-05 16:00:00,,58.03,80.99
2014-08-06 16:00:00,,57.97,81.5
2014-08-07 16:00:00,,57.5,79.26
2014-08-08 16:00:00,,58.54,80.12
2014-08-11 16:00:00,,58.36,79.87
2014-08-12 16:00:00,,58.46,80.22
2014-08-13 16:00:00,,58.26,81.51
2014-08-14 16:00:00,,58.74,81.82
2014-08-15 16:00:00,,58.2,81.47
2014-08-18 16:00:00,,58.55,82.34
2014-08-19 16:00:00,,59.25,83.47
2014-08-20 16:00:00,,60.33,83.43
2014-08-21 16:00:00,,61.07,83.77
2014-08-22 16:00:00,,61.05,83.78
2014-08-25 16:00:00,,60.98,84.24
2014-08-26 16:00:00,,60.7,85.12
2014-08-27 16:00:00,,60.79,86.38
2014-08-28 16:00:00,,60.35,86.34
2014-08-29 16:00:00,,60.07,86.68
2014-09-02 16:00:00,,60.19,86.39
2014-09-03 16:00:00,,60.39,86.79
2014-09-04 16:00:00,,61.03,87.06
2014-09-05 16:00:00,,61.08,87.75
2014-09-08 16:00:00,,60.56,87.91
2014-09-09 16:00:00,,60.88,88.56
2014-09-10 16:00:00,,61.95,87.25
2014-09-11 16:00:00,,62.59,87.08
2014-09-12 16:00:00,,62.53,86.18
2014-09-15 16:00:00,,62.21,86.03
2014-09-16 16:00:00,,62.86,87.16
2014-09-17 16:00:00,,62.87,86.99
2014-09-18 16:00:00,,63.93,87.63
2014-09-19 16:00:00,,63.81,87.8
2014-09-22 16:00:00,,63.36,87.77
2014-09-23 16:00:00,,63.08,86.59
2014-09-24 16:00:00,,63.88,88.21
2014-09-25 16:00:00,,62.88,86.18
2014-09-26 16:00:00,,63.15,86.6
2014-09-29 16:00:00,,63.04,86.51
2014-09-30 16:00:00,,62.68,86.25
2014-10-01 16:00:00,,62.07,84.88
2014-10-02 16:00:00,,62.57,84.9
2014-10-03 16:00:00,,63.07,86.02
2014-10-06 16:00:00,,62.28,85.09
2014-10-07 16:00:00,,61.54,84.19
2014-10-08 16:00:00,,62.81,86.62
2014-10-09 16:00:00,,61.6,84.94
2014-10-10 16:00:00,,60.59,85.39
2014-10-13 16:00:00,,60.44,83.95
2014-10-14 16:00:00,,61.69,82.82
2014-10-15 16:00:00,,59.98,82.16
2014-10-16 16:00:00,,59.44,85.39
2014-10-17 16:00:00,,59.07,88.18
2014-10-20 16:00:00,,60.29,88.54
2014-10-21 16:00:00,,61.64,90.95
2014-10-22 16:00:00,,61.33,89.77
2014-10-23 16:00:00,,62.03,90.66
2014-10-24 16:00:00,,61.57,91.64
2014-10-27 16:00:00,,61.56,92.13
2014-10-28 16:00:00,,60.65,92.64
2014-10-29 16:00:00,,60.89,92.96
2014-10-30 16:00:00,,61.78,93.88
2014-10-31 16:00:00,20.38,61.82,95.01
2014-11-03 16:00:00,20.38,61.59,94.86
2014-11-04 16:00:00,20.26,61.37,94.98
2014-11-05 16:00:00,20.0,61.12,95.8
2014-11-06 16:00:00,20.14,61.89,96.21
2014-11-07 16:00:00,20.12,64.17,93.61
2014-11-10 16:00:00,20.3,65.52,94.75
2014-11-11 16:00:00,20.29,65.72,95.69
2014-11-12 16:00:00,20.36,66.72,95.68
2014-11-13 16:00:00,20.34,67.5,95.9
2014-11-14 16:00:00,20.44,68.13,95.11
2014-11-17 16:00:00,20.41,67.13,96.47
2014-11-18 16:00:00,20.6,67.51,98.19
2014-11-19 16:00:00,20.29,72.5,96.86
2014-11-20 16:00:00,20.28,71.19,96.85
2014-11-21 16:00:00,20.36,71.51,96.71
2014-11-24 16:00:00,20.49,71.57,96.9
2014-11-25 16:00:00,20.52,72.1,97.9
2014-11-26 16:00:00,20.56,72.16,98.11
2014-11-28 16:00:00,20.59,74.0,98.63
2014-12-01 16:00:00,20.27,72.75,99.06
2014-12-02 16:00:00,20.05,73.07,99.83
2014-12-03 16:00:00,20.09,73.33,100.8
2014-12-04 16:00:00,20.06,73.28,99.67
2014-12-05 16:00:00,20.11,73.66,100.33
2014-12-08 16:00:00,19.73,73.78,99.92
2014-12-09 16:00:00,19.78,73.6,101.02
2014-12-10 16:00:00,19.73,72.91,99.09
2014-12-11 16:00:00,19.77,73.53,99.73
2014-12-12 16:00:00,19.61,72.4,98.76
2014-12-15 16:00:00,19.28,73.2,98.27
2014-12-16 16:00:00,18.95,72.28,95.85
2014-12-17 16:00:00,19.16,73.57,99.14
2014-12-18 16:00:00,19.88,74.64,102.24
2014-12-19 16:00:00,20.16,73.95,102.49
2014-12-22 16:00:00,20.33,74.5,103.04
2014-12-23 16:00:00,20.34,74.69,102.85
2014-12-24 16:00:00,20.37,74.65,102.68
2014-12-26 16:00:00,20.6,75.06,102.55
2014-12-29 16:00:00,20.43,75.53,102.33
2014-12-30 16:00:00,20.3,75.71,102.85
2014-12-31 16:00:00,20.16,75.91,101.09
2015-01-02 16:00:00,20.17,75.33,100.78
2015-01-05 16:00:00,19.68,73.98,99.12
2015-01-06 16:00:00,19.61,73.97,98.92
2015-01-07 16:00:00,19.7,76.77,99.93
2015-01-08 16:00:00,20.14,77.13,104.7
2015-01-09 16:00:00,19.97,76.43,103.72
2015-01-12 16:00:00,20.15,76.63,102.55
2015-01-13 16:00:00,19.99,75.95,103.07
2015-01-14 16:00:00,19.93,74.33,103.33
2015-01-15 16:00:00,19.48,75.67,104.46
2015-01-16 16:00:00,19.61,74.94,105.77
